iter	Logloss
0	0.6694973363
1	0.6495494116
2	0.6308723204
3	0.6149889219
4	0.6002214957
5	0.5886804209
6	0.5790922219
7	0.5714305307
8	0.5618112713
9	0.5531656323
10	0.546677587
11	0.5395022219
12	0.5313578596
13	0.5248971357
14	0.5208655502
15	0.5175911174
16	0.5127326925
17	0.5071956475
18	0.5040546103
19	0.5010268737
20	0.4987966918
21	0.4961722735
22	0.4936868873
23	0.4925764384
24	0.4895944812
25	0.4876819207
26	0.4843595635
27	0.482819097
28	0.4811517542
29	0.478098006
30	0.4768291707
31	0.4753817901
32	0.4741900068
33	0.473095275
34	0.4725662785
35	0.47088233
36	0.4702407374
37	0.469320127
38	0.468519686
39	0.4676146722
40	0.4673939128
41	0.4660904596
42	0.4653494436
43	0.4646122921
44	0.4641629675
45	0.4631905692
46	0.4625008964
47	0.461275795
48	0.4608670733
49	0.4604854977
50	0.4602169995
51	0.4597536744
52	0.458558846
53	0.4580053142
54	0.457483913
55	0.4571095877
56	0.4566782245
57	0.455849994
58	0.4553912192
59	0.4549690615
60	0.4542220039
61	0.452952752
62	0.4524521855
63	0.4521197944
64	0.4517916216
65	0.451475456
66	0.4509098542
67	0.4504464177
68	0.4500392039
69	0.4496781074
70	0.4494236176
71	0.4488153834
72	0.4483388354
73	0.4474827207
74	0.446793729
75	0.446026574
76	0.4453601057
77	0.4450005308
78	0.4445725931
79	0.4442413336
80	0.4438522465
81	0.4433077797
82	0.4426250471
83	0.4422250676
84	0.4419637219
85	0.441730499
86	0.4414967095
87	0.4411155355
88	0.4408654474
89	0.4405874253
90	0.4401981639
91	0.4400479793
92	0.4398705664
93	0.4395209408
94	0.4391676235
95	0.4388741788
96	0.4386232815
97	0.438273332
98	0.4380527597
99	0.437317524
100	0.436930669
101	0.4367118233
102	0.436544726
103	0.436314102
104	0.4361524967
105	0.4358607018
106	0.4355305336
107	0.4350535556
108	0.4347643668
109	0.4344687118
110	0.4342550932
111	0.4340180735
112	0.433811715
113	0.4334538284
114	0.4331639457
115	0.4329146598
116	0.4327338819
117	0.4325234141
118	0.432453811
119	0.4322777935
120	0.4320538049
121	0.4318380446
122	0.431682277
123	0.4313060508
124	0.4311077137
125	0.4308708368
126	0.4307709346
127	0.4302190108
128	0.4299279936
129	0.4296297439
130	0.4293934136
131	0.4292676816
132	0.428974337
133	0.4287561731
134	0.4285232614
135	0.4282774336
136	0.4280885013
137	0.427823667
138	0.4274110332
139	0.4273073167
140	0.4271269006
141	0.4268737364
142	0.4266474852
143	0.4262482896
144	0.4259946859
145	0.4257729904
146	0.4256050836
147	0.4252735566
148	0.4251464202
149	0.4250583007
150	0.4246779953
151	0.4245026606
152	0.4243567739
153	0.4240680424
154	0.4238847144
155	0.4237556593
156	0.4235885353
157	0.423401185
158	0.4232569766
159	0.4228414641
160	0.422504439
161	0.4222407275
162	0.4218467496
163	0.4216963136
164	0.4213742696
165	0.4211652933
166	0.42093796
167	0.4207014177
168	0.4205154916
169	0.4202885185
170	0.4200237559
171	0.4193964425
172	0.4190913739
173	0.4188443645
174	0.4186487014
175	0.4184141863
176	0.4181974883
177	0.4179182577
178	0.4176691439
179	0.4174471958
180	0.4171847447
181	0.4169409022
182	0.4167145899
183	0.4164660385
184	0.4162654593
185	0.4161009704
186	0.4159011772
187	0.415681791
188	0.4154438069
189	0.4152479419
190	0.4149943201
191	0.4147136725
192	0.4143635281
193	0.4140137157
194	0.4138051847
195	0.4134592272
196	0.41318872
197	0.412948085
198	0.4124572969
199	0.4122498287
200	0.4120245284
201	0.4117243401
202	0.4115802389
203	0.4113441556
204	0.4111693259
205	0.4108687564
206	0.4106921293
207	0.4104634464
208	0.410210201
209	0.4100496241
210	0.4098223122
211	0.4095987993
212	0.4092373365
213	0.4089592947
214	0.4087384308
215	0.4084732542
216	0.4081699432
217	0.4079784825
218	0.407750578
219	0.4075307971
220	0.4073402014
221	0.4070144678
222	0.4068301794
223	0.4066222123
224	0.4064615824
225	0.406266909
226	0.4061280481
227	0.4058099691
228	0.4056361243
229	0.4054910787
230	0.4052051249
231	0.4049275892
232	0.4047400683
233	0.4045169712
234	0.4041053898
235	0.4038908875
236	0.4035428814
237	0.4031747266
238	0.4028434656
239	0.4026317243
240	0.4023931544
241	0.4021610984
242	0.401970091
243	0.4018360827
244	0.40160725
245	0.4012231819
246	0.4008746661
247	0.4006590307
248	0.4004845532
249	0.4001975928
250	0.4000506361
251	0.3997900556
252	0.3995872236
253	0.3994010122
254	0.3991944748
255	0.3990787423
256	0.3988595344
257	0.3987162816
258	0.3985430778
259	0.398278453
260	0.3979783133
261	0.3978726447
262	0.3976610198
263	0.3975490654
264	0.3974219327
265	0.3972553485
266	0.3968677036
267	0.3966660494
268	0.3963685794
269	0.3961241211
270	0.3957878756
271	0.3956094081
272	0.3952675263
273	0.3950573548
274	0.3948876132
275	0.3946121395
276	0.3943244202
277	0.3940774896
278	0.3939141437
279	0.3937950048
280	0.3936394047
281	0.393467209
282	0.3932072933
283	0.3929336547
284	0.3926180027
285	0.3925111288
286	0.3923646847
287	0.3921574624
288	0.3920789592
289	0.3919373811
290	0.391857015
291	0.39169595
292	0.391553999
293	0.3912715718
294	0.3910822795
295	0.3909804388
296	0.3908248698
297	0.3906611592
298	0.3904735796
299	0.3902228367
300	0.3900579545
301	0.3897827461
302	0.3897791568
303	0.3896053762
304	0.3894275553
305	0.3892782584
306	0.388996437
307	0.3887421401
308	0.3884996386
309	0.3883299942
310	0.3881329629
311	0.3879779924
312	0.3877561908
313	0.3876026706
314	0.3872889314
315	0.3869935027
316	0.3866653641
317	0.3864381001
318	0.3862720363
319	0.3861477986
320	0.3859197504
321	0.3856066319
322	0.3854505535
323	0.385260649
324	0.3851437253
325	0.3850938931
326	0.384980454
327	0.384867949
328	0.3845999309
329	0.3843545227
330	0.3841132226
331	0.3840254753
332	0.3839265223
333	0.3837000136
334	0.3834665496
335	0.3832259058
336	0.382993104
337	0.3828836985
338	0.3827639163
339	0.3825352366
340	0.3823331259
341	0.3822295727
342	0.3820505718
343	0.3817968161
344	0.3817870566
345	0.3815999202
346	0.3813407968
347	0.3812799793
348	0.3812609246
349	0.3811275513
350	0.3809538727
351	0.3807370845
352	0.3805741842
353	0.3804042763
354	0.3802641102
355	0.3801939065
356	0.380066135
357	0.379817267
358	0.3796130845
359	0.3794820741
360	0.3793522901
361	0.3792823105
362	0.3791013521
363	0.3789185439
364	0.3787237903
365	0.3785624592
366	0.3784337711
367	0.3783984073
368	0.3783494541
369	0.3782140699
370	0.378096695
371	0.3778143276
372	0.3776726797
373	0.3775941171
374	0.3775193976
375	0.3774211868
376	0.3773009641
377	0.3772204199
378	0.3770515302
379	0.3767493759
380	0.3764728521
381	0.3761925429
382	0.3760364482
383	0.37583129
384	0.3756824786
385	0.3754732203
386	0.3753541064
387	0.3751086855
388	0.3750345992
389	0.3748762128
390	0.3747500808
391	0.3745522918
392	0.3743711554
393	0.3741690019
394	0.3740146045
395	0.3738553276
396	0.3736288279
397	0.3733823357
398	0.37317799
399	0.3730702064
400	0.3729613968
401	0.3727508646
402	0.3726327762
403	0.3724785867
404	0.3723007852
405	0.3721088761
406	0.3718046198
407	0.3716412727
408	0.3714583046
409	0.3712846001
410	0.3711056405
411	0.3710142575
412	0.3709051714
413	0.3707717084
414	0.3705935229
415	0.3703074805
416	0.3701535553
417	0.3698670532
418	0.3696151782
419	0.3694966881
420	0.3693210975
421	0.3690382184
422	0.3688587496
423	0.3687671274
424	0.3686676903
425	0.3684674214
426	0.3683846209
427	0.3680394562
428	0.367782866
429	0.3676560844
430	0.3674420543
431	0.3672767286
432	0.3671165558
433	0.3669254643
434	0.3667161323
435	0.3665009132
436	0.3664418376
437	0.3662267431
438	0.3659687797
439	0.3657123971
440	0.3655988142
441	0.365394001
442	0.3652076364
443	0.3651377814
444	0.3648911872
445	0.3647643829
446	0.3646328719
447	0.3645974884
448	0.3644679272
449	0.3642954108
450	0.364121327
451	0.3638560829
452	0.3636651948
453	0.3633626443
454	0.363285905
455	0.3631144528
456	0.3630292931
457	0.3629099018
458	0.3627597909
459	0.3625999943
460	0.3624909355
461	0.3623474793
462	0.3622786909
463	0.3621791394
464	0.3621162286
465	0.3619191265
466	0.3618110296
467	0.3617128852
468	0.3615258882
469	0.361411872
470	0.3612734584
471	0.3612430499
472	0.3610807702
473	0.3608195429
474	0.3607170092
475	0.3606490695
476	0.3604055103
477	0.3603852958
478	0.3602620837
479	0.3601364191
480	0.3599647465
481	0.3597108424
482	0.3595672861
483	0.3594885112
484	0.3593174387
485	0.3591286057
486	0.3589122833
487	0.3587802963
488	0.3585859697
489	0.3585224727
490	0.3584273309
491	0.3583207315
492	0.3581144038
493	0.3580179043
494	0.3580086617
495	0.3579102091
496	0.3578181146
497	0.3577118291
498	0.357540947
499	0.3574824196
