iter	Passed	Remaining
0	143	71566
1	147	36826
2	152	25326
3	157	19475
4	161	15965
5	165	13600
6	169	11919
7	172	10634
8	177	9663
9	181	8881
10	185	8255
11	189	7719
12	193	7262
13	198	6889
14	203	6568
15	207	6265
16	211	5998
17	215	5767
18	219	5556
19	223	5362
20	227	5183
21	231	5023
22	235	4876
23	239	4742
24	243	4622
25	247	4511
26	251	4402
27	255	4304
28	259	4214
29	263	4129
30	267	4048
31	271	3972
32	275	3903
33	279	3836
34	284	3774
35	288	3713
36	292	3653
37	295	3598
38	300	3548
39	304	3500
40	307	3447
41	311	3399
42	315	3356
43	319	3314
44	323	3271
45	327	3233
46	331	3196
47	336	3164
48	339	3127
49	343	3093
50	347	3060
51	351	3028
52	355	2998
53	359	2967
54	363	2937
55	367	2909
56	370	2882
57	374	2855
58	379	2833
59	382	2808
60	386	2784
61	391	2762
62	395	2740
63	399	2718
64	403	2697
65	406	2674
66	410	2652
67	414	2633
68	418	2613
69	422	2593
70	426	2574
71	429	2555
72	433	2537
73	437	2519
74	441	2501
75	445	2486
76	449	2469
77	453	2452
78	457	2435
79	460	2420
80	464	2405
81	468	2390
82	472	2374
83	476	2360
84	480	2346
85	484	2331
86	488	2318
87	492	2305
88	496	2292
89	500	2278
90	504	2266
91	507	2252
92	511	2239
93	515	2226
94	519	2213
95	522	2200
96	526	2188
97	530	2175
98	534	2163
99	537	2151
100	541	2139
101	545	2127
102	549	2116
103	553	2105
104	556	2095
105	560	2083
106	564	2072
107	568	2062
108	571	2051
109	575	2041
110	579	2031
111	583	2021
112	587	2011
113	591	2002
114	595	1992
115	599	1983
116	602	1972
117	606	1961
118	609	1951
119	612	1940
120	616	1930
121	619	1920
122	623	1909
123	626	1899
124	629	1889
125	633	1879
126	636	1869
127	640	1860
128	643	1850
129	646	1841
130	650	1832
131	653	1822
132	657	1813
133	660	1804
134	664	1795
135	667	1786
136	671	1779
137	675	1771
138	678	1762
139	682	1754
140	685	1745
141	689	1737
142	692	1729
143	696	1721
144	699	1713
145	703	1705
146	706	1697
147	710	1689
148	713	1681
149	717	1673
150	720	1665
151	723	1657
152	727	1649
153	730	1641
154	734	1633
155	737	1626
156	740	1618
157	744	1611
158	747	1603
159	751	1597
160	755	1590
161	759	1584
162	762	1576
163	765	1569
164	769	1562
165	773	1555
166	776	1549
167	780	1542
168	784	1536
169	788	1529
170	791	1523
171	795	1516
172	799	1510
173	802	1503
174	806	1497
175	809	1490
176	813	1484
177	816	1477
178	820	1470
179	823	1464
180	827	1457
181	830	1451
182	834	1445
183	837	1438
184	840	1431
185	844	1425
186	847	1419
187	851	1412
188	854	1406
189	858	1400
190	861	1393
191	865	1387
192	868	1381
193	872	1375
194	876	1370
195	879	1364
196	883	1359
197	887	1353
198	890	1347
199	894	1341
200	897	1335
201	901	1329
202	904	1323
203	908	1318
204	911	1312
205	915	1306
